No,Animation Name,Category,Keywords,CSS Code,Framer Motion,GSAP,Style Match,Duration,Easing,Performance
11,Rotate In,Entrance,"rotate, spin, turn, twist","transform: rotate(-5deg) → rotate(0); opacity: 0 → 1","initial={{ rotate: -5, opacity: 0 }} animate={{ rotate: 0, opacity: 1 }}","gsap.from(el, { rotation: -5, opacity: 0, duration: 0.4 })","Brutalism, Retro-Futurism",400ms,ease-out,"High — transform only"
12,Blur In,Entrance,"blur, focus, sharp, glassmorphism","filter: blur(10px) → blur(0); opacity: 0 → 1","initial={{ filter: 'blur(10px)', opacity: 0 }} animate={{ filter: 'blur(0)', opacity: 1 }}","gsap.from(el, { filter: 'blur(10px)', opacity: 0, duration: 0.5 })","Glassmorphism, Liquid Glass",500ms,ease,"Low — filter repaint"
13,Typewriter,Text,"typewriter, typing, text-reveal, character","overflow: hidden; border-right: 2px solid; animation: typing 3s steps(30)","Custom with useEffect and interval","gsap.to(el, { text: 'Hello World', duration: 2, ease: 'none' })","Brutalism, Retro-Futurism",3000ms,steps,"High — width only"
14,Counter,Number,"counter, count-up, number, stat, metric","Custom JS: requestAnimationFrame increment","animate={{ count: [0, targetValue] }} with useMotionValue","gsap.to(el, { textContent: 1000, duration: 2, snap: { textContent: 1 } })","Dashboard, Data-Dense",2000ms,ease-out,"High — text only"
15,Drawer Slide,Navigation,"drawer, slide, panel, sidebar, menu","transform: translateX(-100%) → translateX(0)","initial={{ x: '-100%' }} animate={{ x: 0 }}","gsap.from(el, { x: '-100%', duration: 0.3 })","All styles",300ms,ease-out,"High — transform only"
16,Accordion Expand,Content,"accordion, expand, collapse, height, toggle","max-height: 0 → auto; overflow: hidden","animate={{ height: isOpen ? 'auto' : 0 }}","gsap.to(el, { height: isOpen ? 'auto' : 0, duration: 0.3 })","All styles",300ms,ease,"Medium — height reflow"
17,Ripple,Interaction,"ripple, material, click, wave, touch","Custom: create circle at click point, scale + fade","Custom with motion.div at click coordinates","Custom with gsap.fromTo circle element","Material Design, Flat Design",600ms,ease-out,"Medium — new element"
18,Glow,Attention,"glow, neon, highlight, focus, border","box-shadow: 0 0 20px rgba(color, 0.5); animation: glow 2s infinite alternate","animate={{ boxShadow: ['0 0 10px rgba(99,102,241,0.3)', '0 0 20px rgba(99,102,241,0.6)'] }}","gsap.to(el, { boxShadow: '0 0 20px rgba(99,102,241,0.6)', yoyo: true, repeat: -1 })","Glassmorphism, Dark Mode, Retro-Futurism",2000ms,ease-in-out,"Medium — box-shadow repaint"
19,Flip,Transition,"flip, card-flip, 3d, rotate-y, perspective","transform: perspective(600px) rotateY(180deg)","animate={{ rotateY: isFlipped ? 180 : 0 }} style={{ perspective: 600 }}","gsap.to(el, { rotateY: 180, duration: 0.6 })","3D & Hyperrealism, Skeuomorphism",600ms,ease-in-out,"Medium — 3D transform"
20,Morph,Transition,"morph, shape, svg, path, transform","SVG path d attribute animation","Custom with motion.path and pathLength","gsap.to(path, { attr: { d: newPath }, duration: 0.5 })","Motion-Driven, Aurora UI",500ms,ease-in-out,"Low — SVG repaint"
