No,Component Name,Category,Keywords,Description,Variants,Accessibility,Animation,Best Practices,Anti-Patterns
11,Tabs,Navigation,"tabs, tab-bar, tab-panel, segmented",Content switching via tab headers,"Horizontal, Vertical, Scrollable, Icon tabs, Badge tabs","role tablist/tab/tabpanel, aria-selected, arrow key nav","Underline slide, content fade transition","Max 7 tabs. Active indicator. Scrollable if overflow","Too many tabs, no active indicator, content jump"
12,Accordion,Content,"accordion, collapsible, expandable, faq, toggle",Expandable content sections,"Single open, Multi open, Nested, FAQ style","aria-expanded, aria-controls, Enter/Space to toggle","Height transition 200ms, rotate chevron","One open at a time for FAQ. Chevron indicator","No animation, no indicator, auto-close all"
13,Breadcrumb,Navigation,"breadcrumb, path, trail, hierarchy",Navigation path indicator,"Text, Icon separator, Collapsed, Responsive","nav aria-label breadcrumb, aria-current page, ol/li structure","None (static)","Max 4-5 levels. Truncate middle on mobile","Too many levels, no current page indicator"
14,Pagination,Navigation,"pagination, pager, page-numbers, infinite-scroll",Content page navigation,"Numbered, Prev/Next, Load more, Infinite scroll, Cursor","aria-label, aria-current, disabled state for bounds","Button press feedback","Show current/total. Prev/Next always visible","No current indicator, no bounds handling"
15,Avatar,Display,"avatar, profile-pic, user-image, initials",User profile image or initials,"Image, Initials, Icon, Group, Status badge","alt text, role img for initials","None (static)","Fallback to initials. Status dot for online/offline","No fallback, broken image, no alt"
16,Badge/Tag,Display,"badge, tag, chip, label, pill",Small label or counter,"Count, Status, Removable, Dot, Outline","aria-label for count badges","Pulse for new, fade in","Max 3 digits. Color-coded status","Too many badges, unclear meaning"
17,Tooltip,Overlay,"tooltip, hint, popover, info",Contextual information popup,"Text, Rich content, Interactive","role tooltip, aria-describedby, delay 300ms","Fade in 150ms, position auto","Delay 300ms show. Max 2 lines. Arrow pointer","Instant show, too much content, no arrow"
18,Progress Bar,Feedback,"progress, loading, bar, percentage, step",Progress indication,"Linear, Circular, Step, Indeterminate","role progressbar, aria-valuenow, aria-valuemin/max","Width transition, color change at milestones","Show percentage. Color change at 100%","No label, no percentage, stuck state"
19,Skeleton Loader,Feedback,"skeleton, placeholder, loading, shimmer",Content loading placeholder,"Text lines, Card, Image, Table row, Custom","aria-busy true, aria-label loading","Shimmer animation left-to-right","Match actual content layout. Animate shimmer","Static grey blocks, wrong layout, too long"
20,Search Bar,Input,"search, search-bar, search-input, find, filter",Search input with suggestions,"Basic, Expandable, With filters, Voice, Command palette","role search, aria-label, aria-autocomplete","Expand on focus, results dropdown fade","Debounce 300ms. Show recent searches. Clear button","No debounce, no clear, no suggestions"
21,Footer,Layout,"footer, bottom, site-footer, copyright",Page bottom section,"Simple, Multi-column, Mega footer, Sticky, CTA footer","role contentinfo, nav for link groups","None (static)","Logo + links + social + legal. Max 4 columns","Too many links, no organization, missing legal"
22,Stepper/Wizard,Navigation,"stepper, wizard, multi-step, progress-steps",Multi-step process indicator,"Horizontal, Vertical, Dot, Number, Icon","aria-current step, disabled future steps","Step transition slide, checkmark on complete","Max 5 steps. Show completed state. Allow back navigation","Too many steps, no back, no progress indication"
23,Chip/Filter,Input,"chip, filter, tag-input, multi-select-chip",Selectable filter tags,"Single select, Multi select, Input chips, Removable","role option, aria-selected, keyboard delete to remove","Scale on select, fade on remove","Group related chips. Show selected count","Too many chips, no grouping, no remove"
24,Empty State,Feedback,"empty, no-data, zero-state, placeholder, blank",No content placeholder,"Illustration, Action, Search empty, Error empty","Descriptive text, action button focus","Fade in illustration","Illustration + message + CTA. Be helpful not blaming","Just 'No data', no action, blaming user"
25,Divider,Layout,"divider, separator, hr, line, border",Content section separator,"Horizontal, Vertical, With text, Dashed","role separator, aria-orientation","None (static)","Use sparingly. Consistent style. Text dividers for sections","Overuse, inconsistent styles"
